日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2020-04-22,27.04,32.44,32.44,27.04,972,3142842.00,23.97,43.99,9.91,0.34
2020-04-23,35.68,35.68,35.68,35.68,497,1773153.00,0.00,9.99,3.24,0.18
2020-04-24,39.25,39.25,39.25,39.25,513,2011837.00,0.00,10.01,3.57,0.18
2020-04-27,43.18,43.18,43.18,43.18,760,3280945.00,0.00,10.01,3.93,0.27
2020-04-28,47.50,39.39,47.50,38.86,148015,614953472.00,20.01,-8.78,-3.79,52.30
2020-04-29,38.50,40.10,41.82,37.67,125609,497588864.00,10.54,1.80,0.71,44.38
2020-04-30,39.65,38.34,39.80,38.11,89203,346095072.00,4.21,-4.39,-1.76,31.52
