日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2019-07-12,17.37,20.89,20.89,17.37,522,1098870.00,24.39,44.77,6.46,0.13
2019-07-15,23.00,23.00,23.00,23.00,165,382857.00,0.00,10.10,2.11,0.04
2019-07-16,25.33,25.33,25.33,25.33,258,660322.00,0.00,10.13,2.33,0.06
2019-07-17,27.89,27.89,27.89,27.89,575,1618050.00,0.00,10.11,2.56,0.14
2019-07-18,30.70,30.70,30.70,30.70,1870,5788516.00,0.00,10.08,2.81,0.46
2019-07-19,33.80,33.80,33.80,33.80,2328,7928508.00,0.00,10.10,3.10,0.57
2019-07-22,37.21,37.21,37.21,37.21,7180,26895380.00,0.00,10.09,3.41,1.75
2019-07-23,40.96,40.96,40.96,40.96,15581,64211114.00,0.00,10.08,3.75,3.80
2019-07-24,45.08,45.08,45.08,45.08,8554,38774919.00,0.00,10.06,4.12,2.09
2019-07-25,49.61,49.61,49.61,49.61,3510,17502654.00,0.00,10.05,4.53,0.86
2019-07-26,53.73,54.60,54.60,52.43,241237,1306991552.00,4.37,10.06,4.99,58.84
2019-07-29,53.35,52.65,53.35,51.11,229885,1207093264.00,4.10,-3.57,-1.95,56.07
2019-07-30,52.06,53.35,53.80,50.61,214407,1118194528.00,6.06,1.33,0.70,52.29
2019-07-31,52.06,49.11,52.20,48.55,176253,896082928.00,6.84,-7.95,-4.24,42.99
2019-08-01,48.03,49.85,50.60,47.44,129943,640228640.00,6.43,1.51,0.74,31.69
2019-08-02,47.77,47.82,49.12,46.78,116107,560140256.00,4.69,-4.07,-2.03,28.32
2019-08-05,47.91,45.65,48.60,45.42,111747,526987904.00,6.65,-4.54,-2.17,27.26
2019-08-06,43.77,43.42,44.52,41.15,118753,515403424.00,7.38,-4.88,-2.23,28.96
2019-08-07,43.65,41.64,43.91,41.64,78683,337524016.00,5.23,-4.10,-1.78,19.19
2019-08-08,41.81,42.02,42.73,40.89,76756,323490016.00,4.42,0.91,0.38,18.72
2019-08-09,42.31,39.65,42.33,39.48,86177,353532848.00,6.78,-5.64,-2.37,21.02
2019-08-12,39.75,40.81,41.30,38.85,74584,303360704.00,6.18,2.93,1.16,18.19
2019-08-13,40.03,42.16,42.52,39.50,85231,351518144.00,7.40,3.31,1.35,20.79
2019-08-14,42.84,41.47,42.96,41.41,63998,271252688.00,3.68,-1.64,-0.69,15.61
2019-08-15,39.60,42.08,42.41,39.55,59306,244346421.00,6.90,1.47,0.61,14.46
2019-08-16,41.75,42.83,44.33,41.64,85688,374183744.00,6.39,1.78,0.75,20.90
2019-08-19,42.75,43.36,43.74,42.46,65898,286046000.00,2.99,1.24,0.53,16.07
2019-08-20,42.83,43.92,44.33,42.36,69717,303897792.00,4.54,1.29,0.56,17.00
2019-08-21,43.63,42.43,43.93,42.41,51064,220758221.00,3.46,-3.39,-1.49,12.45
2019-08-22,42.45,41.57,42.87,41.55,43023,182775651.00,3.11,-2.03,-0.86,10.49
2019-08-23,41.31,43.59,45.19,41.30,79877,348232496.00,9.36,4.86,2.02,19.48
